2025-07-23 14:37:45,079 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 14:37:49,644 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: 
2025-07-23 14:49:11,538 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 14:49:11,539 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 14:49:11,539 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 14:49:11,540 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 14:49:11,541 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 14:49:18,575 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: 
2025-07-23 14:55:06,725 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250723.log
2025-07-23 14:55:06,726 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-23 14:55:06,726 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-23 14:55:06,726 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-23 14:55:06,727 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-23 14:55:13,527 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: 
